GRID_ID,Tarih,Target,Negative_Type,Varyant,Bolge,M_T_Celsius,M_Dewpoint_C,M_Wind_Speed,M_RH_Percent,M_SurfPressure,M_Soil_L1,M_VPD_kPa,FWI_FFMC,FWI_DMC,FWI_DC,FWI_ISI,FWI_BUI,FWI_Final,M_Precip_7Day,M_Precip_30Day,M_Precip_90Day,M_Days_Since_Rain,pixel_count,elevation,slope_mean,northness,eastness,perc_tree,perc_shrub_grass,perc_agri,perc_water,NDVI,ERA5_lat,ERA5_lon,u10,v10,wind_sin,wind_cos,chimney_index,chimney_effect,days_since_last_fire,twi_proxy,dist_road_all,dist_road_forest,dist_settlement,log_dist_road,log_dist_forest,log_dist_settlement,I_FWI_x_NDVI,I_FWI_x_Wind,I_VPD_x_DryDays,I_Dewpoint_x_Wind,I_FWI_x_NDVI_CON,I_Wind_x_RoadDist,T_month_sin,T_month_cos,T_doy_sin,T_doy_cos,year
882dac2b45fffff,2023-07-16,1,POZITIF,-,MED,35.345855712890625,3.435943603515625,3.1777074337005615,13.636816024780273,91027.125,0.1201934814453125,4.949524879455566,98.59711563526538,267.96735608039415,576.7921447521624,16.453291250762383,267.39999796239755,54.44954665966692,0.2860560012049973,3.537438520346768,104.36340620240662,26.0,54.0,961.3096839696042,9.177368666049531,-0.6053474797818768,-0.1490511389692018,0.1624004898958968,0.5676339268411785,0.2694714240312535,0.0,0.34740000000000004,37.199999999999925,37.00000000000016,1.010632832845052,-2.4632309675216675,-0.9251585234735089,0.3795809616462828,-0.09188244685496699,-0.8432390887267354,5675,5.805696275888738,201.3380887279324,277.7963952021027,3016.709286634439,5.309940004889168,5.630481749111613,8.01225330819189,35.53377415009863,173.02472918204916,128.68764686584473,10.918423530667496,18.915772509568292,0.5036034306567668,-0.4999999999999997,-0.8660254037844388,-0.24702218048093527,-0.9690098257244063,2023
883f6306b1fffff,2021-07-29,1,POZITIF,-,MED,36.086090087890625,3.133453369140625,2.947628974914551,12.815522193908691,92201.4375,0.1349334716796875,5.204143524169922,97.560134858092,187.5998387778605,700.6924711113647,14.18508019022297,224.75965755819433,49.17225012820726,2.4409196375636384,2.8006734620794305,67.64353596568253,4.0,85.0,875.9678372549863,34.65655680959823,-0.3017844937275623,0.232975840615227,0.7066560718543217,0.2717830679048218,0.0,0.0,0.6026,36.99999999999992,28.800000000000047,-1.21588134765625,-1.8819651206334431,-0.8399487410059017,-0.5426657465536228,-0.03191965642257688,-1.1062253861518927,4958,4.8103703228680486,2248.2643175066605,3790.1067765525277,4097.765716620147,7.7183584717350815,8.240413280920933,8.318441162642545,19.541052200949565,144.94154923964945,20.816574096679688,9.236257942422526,29.631197927257695,0.33809449158012533,-0.4999999999999997,-0.8660254037844388,-0.455906693508459,-0.8900275764346766,2021
882d126821fffff,2013-10-17,1,POZITIF,-,MED,24.918853759765625,9.207672119140625,1.5180249214172363,36.93156433105469,99839.75,0.2427978515625,1.9882311820983887,90.18682389244111,37.65085701641864,379.8944444033529,4.75355106027615,60.34894496821292,14.169298518310466,0.012838838272728026,127.18454120238312,146.43167692865245,14.0,74.0,238.25363370084855,17.05167459072429,-0.724423412135516,0.248787548839127,0.2083941422366135,0.7843156969285533,0.0072901608348322,0.0,0.4176,36.89999999999992,35.700000000000145,0.11919085184733073,-0.7010097503662109,-0.9858513863183825,0.16762172918247575,-0.3666966549242301,-6.252792033275087,2116,5.4826393669181,249.31374868890882,249.31374868890882,1047.07513650188,5.522715125770221,5.522715125770221,6.954710557446396,8.252199457064016,21.50934826979561,27.83523654937744,13.977475745094125,5.917099061246451,0.23272899278089867,-0.8660254037844386,0.5000000000000001,-0.9611297838723007,0.27609697309746883,2013
882da16b1dfffff,2012-09-28,1,POZITIF,-,MED,33.360504150390625,1.966461181640625,1.583606481552124,13.714834213256836,94349.4375,0.1741485595703125,4.428811073303223,96.35122147809615,136.6554444400558,1189.7554411162866,11.265887234388341,212.33797804031246,42.26938307653081,0.4602650897577405,8.36949946905952,23.92166261197417,8.0,80.0,589.9534758761214,16.61429290352735,-0.1242446182879162,0.1354330702002047,0.5167541014491566,0.4821585362591708,0.0,0.0,0.43860000000000005,35.899999999999906,36.10000000000015,-0.7578659057617188,0.07728028297424316,0.10144486772136324,-0.9948411626048628,0.1373426503965058,2.281851021834304,1732,5.588052893574198,55.28050629317841,55.28050629317841,993.8570687752659,4.03034822817549,4.03034822817549,6.902599077367925,23.730031659164393,66.93806901120385,35.43048858642578,3.1141006729667424,18.539351417366415,0.31481050808414884,-1.0,-1.8369701987210297e-16,-0.9995462806873573,-0.03012030484690836,2012
883f6a916bfffff,2013-09-23,1,POZITIF,-,MED,25.219635009765625,6.799468994140625,2.192183494567871,30.78858184814453,96748.8125,0.1960601806640625,2.221311092376709,88.99136723036405,44.003455410233975,956.78581404988,4.14300720219109,78.93157244187218,14.83120149073882,18.104997276794165,18.71210569309187,22.31610598392581,2.0,49.0,507.9689126798263,15.820252816915785,0.3284353707971374,-0.6796906798509907,0.5767013416257849,0.4026241507509515,0.0079618840598025,0.0,0.4898,36.39999999999991,30.40000000000007,0.2106329600016276,-1.234757423400879,-0.9857601602834308,0.16815738579671388,0.7252408268694878,11.473493234224346,2092,5.149358105764579,41.80327180538198,977.9124287807599,1100.7718603465905,3.7566145437170344,6.886442188867505,7.004674945001627,7.566879000574946,32.51271511260805,4.442622184753418,14.905683700781083,7.264322490163875,0.46087053605457784,-1.0,-1.8369701987210297e-16,-0.9911140639934546,-0.13301470653419636,2013
883f630403fffff,2022-01-25,0,Tip1_Zit_Mevsim,b,MED,0.285064697265625,-4.981170654296875,1.211201786994934,67.63741302490234,92413.3125,0.3864288330078125,0.20180940628051758,21.966353794950944,0.055183167084021725,0.0,0.0002890266200320442,0.0,5.780532400640885e-05,34.687145829200745,142.83754709493223,444.38870182925893,0.0,85.0,1350.5106123638682,24.17489516127308,0.3802366147634201,0.1751958184094294,0.9236505065016504,0.0758287874282787,0.0,0.0,0.5434,36.99999999999992,28.800000000000047,-0.7154281536738077,-1.7613970041275024,-0.9264921393793802,-0.3763141183482478,-0.30540595505689244,-7.383156945128853,180,5.241400620154969,2151.9276708890256,2151.9276708890256,4255.311610957429,7.674583902229234,7.674583902229234,8.356158245201556,2.639391094132628e-05,7.001391173438356e-05,0.0,-6.0332027978111,3.141141306508257e-05,0.1396264997429645,0.49999999999999994,0.8660254037844387,0.4171936026123168,0.9088176373395029,2022
883f683601fffff,2022-01-25,0,Tip1_Zit_Mevsim,b,MED,-2.589935302734375,-3.473358154296875,1.6194342374801636,93.61608123779297,90795.3125,0.38995361328125,0.032227277755737305,3.303015992949759,0.0,0.0,2.3505647279329727e-08,0.0,4.701129455865946e-09,73.13519611948868,210.39845094265183,388.48650948840077,0.0,82.0,391.9521138433244,32.594576030327765,0.0573406156559467,-0.0268028026403251,0.8961892399515214,0.1034289803712843,0.0,0.0002863347578955404,0.43920000000000003,36.79999999999992,32.00000000000009,-1.6407618125279744,-1.0798987944920857,-0.5497764647758,-0.8353118212850956,-0.03316174401549609,-1.0808929866113541,180,4.852392000185821,16.253098008259354,157.74044708054896,1393.573940904918,2.847991722033876,5.067270460091603,7.240344228899522,2.6363933988496222e-09,7.613169995655804e-09,0.0,-5.624875114099268,2.0647360570163234e-09,0.420851798668684,0.49999999999999994,0.8660254037844387,0.4171936026123168,0.9088176373395029,2022
883f6631d3fffff,2025-07-29,0,Tip4_Mevsim_Ici,b,MED,30.699371337890625,20.499176025390625,4.251062870025635,54.605323791503906,99586.25,0.0870361328125,2.004751443862915,89.81361567378536,405.86020909844103,803.7218682051283,5.171425937350097,404.18518363027744,25.70293563699804,0.005135189974680543,0.03571983371512033,30.62413416212803,59.0,63.0,37.1231758967791,7.684890387540795,-0.2683913112192259,0.3097998838440028,0.834428366010836,0.0937347486689829,0.0135698404963258,0.0,0.31470000000000004,38.09999999999994,26.90000000000002,0.542022705078125,2.0021332105000815,0.9652533371250887,0.26131589153528323,0.22890045694981287,1.7590749213173125,30,6.1387000737384545,53.04355460172937,1778.7601760556886,1782.8836266109595,3.989790288162845,7.484233901655901,7.48654807929196,17.614221792034755,109.26479533710105,118.28033518791199,87.14328606765775,8.088713844963284,0.8519522113204487,-0.4999999999999997,-0.8660254037844388,-0.455906693508459,-0.8900275764346766,2025
883f630519fffff,2021-07-29,0,Tip3_Yakin_Komsu,a,MED,37.771636962890625,4.852203369140625,2.8101134300231934,13.194269180297852,94792.4375,0.12884521484375,5.680036544799805,97.72385327032971,312.3115621318587,779.2017658908637,14.396266787374827,312.30187633833634,50.29137084604971,1.1488847135333344,1.4148519591908553,49.48838448184688,37.0,84.0,296.0807661606844,29.90896124498184,-0.2877825979114398,-0.8184531272699258,0.937416032367211,0.0625839676327889,0.0,0.0,0.5935,36.99999999999992,28.700000000000045,-1.01947021484375,-1.8587717612584431,-0.8767838166972787,-0.48088474583599844,0.8559967181682152,25.60197266952479,4958,4.982058872458092,627.6283595272372,1495.313654154261,1738.4424629286364,6.443540238724796,7.310759798426266,7.461319917257731,20.443442248919204,141.32445662876117,210.16135215759277,13.635241852825857,29.847928597130505,0.37752377765134687,-0.4999999999999997,-0.8660254037844388,-0.455906693508459,-0.8900275764346766,2021
883f681725fffff,2021-07-23,0,Tip2_Kirilma_Noktasi,b,MED,32.978912353515625,13.337554931640625,1.5887130498886108,30.475793838500977,94550.625,0.124786376953125,3.4930362701416016,93.1239695819241,243.6250410954173,717.7523549767358,7.23316488216912,263.5822661347863,32.08803449755515,0.01487880910281092,0.7106783363851719,45.6482059583941,31.0,84.0,239.58023809044465,15.369102628115296,-0.2810834658568362,-0.3920905479307864,0.9565788237609766,0.042660696152418,0.000760480086605261,0.0,0.4466,36.89999999999992,31.500000000000085,0.14069048563639322,-0.6131668488184611,-0.9746723794478748,0.22363754770033123,0.31929901030738794,4.907339258469889,4952,5.7186575545079785,397.1431499741103,397.1431499741103,3750.667052504496,5.9868116139192855,5.9868116139192855,8.229955567517097,17.75751829094702,50.9786791515418,108.28412437438965,21.18954757350366,14.330516206608129,0.22738741756304698,-0.4999999999999997,-0.8660254037844388,-0.3617137307297674,-0.9322892131745134,2021
882c33cd8bfffff,2016-07-19,1,POZITIF,-,CON,33.396636962890625,9.199859619140625,2.4781436920166016,22.625328063964844,86494.875,0.1127166748046875,3.9794921875,96.72139071699497,226.09438039123225,470.66288312804596,12.38666706343164,225.55384610927732,45.14919723918781,0.011604846664340585,7.0916800404138485,180.92572472832944,28.0,47.0,1331.3825756182275,15.013545602152425,-0.4411435414575012,-0.6096642011917576,0.0208680432362082,0.9791319567637918,0.0,0.0,0.3059,37.79999999999993,42.20000000000024,0.34128443400065106,1.073970913887024,0.9530368850398487,0.30285424836634234,-0.7146346668938782,-10.729200160290247,3122,5.162438633250366,2236.0291274951223,2236.0291274951223,2797.575881187549,7.712903982189948,7.712903982189948,7.936865952913801,31.338057803720254,111.88619833790662,111.42578125,22.798574082611594,13.81113943546755,0.2844222428116018,-0.4999999999999997,-0.8660254037844388,-0.3131070409358267,-0.9497178427914317,2016
882c309235fffff,2020-09-01,1,POZITIF,-,CON,36.113189697265625,0.162506103515625,4.6309638023376465,10.338950157165527,88119.0,0.1297454833984375,5.359930992126465,98.13006372597613,252.5455175109273,824.6368940764746,16.649639833249882,286.06902806143927,54.95972947701063,0.003015994530869648,8.298710100265453,41.694648882054025,28.0,63.0,1075.4998871287344,15.344820298635444,-0.3575805385356437,0.3532697123829154,0.0932285945982744,0.7891254472210498,0.0065985880812977,0.00010151673971227378,0.21795,38.599999999999945,40.40000000000021,-0.9197057088216146,0.9717612663904825,0.7262922499234832,-0.6873860397921132,0.5023729245271567,7.708822249769165,4627,5.432629001810124,44.01751896308266,950.6904922228672,1558.0766554030336,3.807051724299457,6.858239868719334,7.351849037446832,42.981256437496164,254.5165177943056,150.07806777954102,0.7525598830397939,11.978473039514467,0.9633688314457501,-1.0,-1.8369701987210297e-16,-0.8800122039735356,-0.4749510720670502,2020
882c15498bfffff,2021-07-07,1,POZITIF,-,CON,31.412750244140625,3.145660400390625,3.5716392993927,16.646989822387695,84336.5625,0.1136474609375,3.833608865737915,97.19102914840974,392.3979112066813,607.8072751527219,13.936763609528345,389.1831305226487,49.36373636730318,0.10975228794995928,0.22060437329491833,55.87294324508548,43.0,71.0,1335.44107326129,26.298141651660245,-0.0801858814484087,-0.7153869703677597,0.3040541390299542,0.686074199279454,0.0098716616905912,0.0,0.39815,37.199999999999925,43.80000000000026,0.4347241719563802,0.5967688163121542,0.8082780960945438,0.5888009165870748,-0.6254451388738622,-16.448044857447144,374,4.965492765922424,2763.3100498907243,3324.2414739005035,2479.3956564960977,7.924546352941903,8.109297574182454,7.816173365343766,29.70956473266142,176.30946077432068,164.84518122673035,11.235164308578533,19.654171634641763,0.40020401689272855,-0.4999999999999997,-0.8660254037844388,-0.09453674981719933,-0.9955213724144752,2021
882c35d0e1fffff,2015-09-14,1,POZITIF,-,CON,25.649078369140625,-4.232269287109375,3.4791452884674072,13.558067321777344,82080.3125,0.2171783447265625,2.845959186553955,96.66073588793577,151.32222254976338,848.3805017359065,12.921884984225866,209.3099892676505,46.06448302828234,0.4922141648057732,13.861979771980259,30.47243275821529,15.0,49.0,2383.544924979819,24.425999570697797,-0.6446861083254612,-0.173957970231762,0.002619699109974,0.8341027135420267,0.0,0.0,0.41185,39.299999999999955,40.000000000000206,0.5918295383453369,0.5192394256591797,0.659502926354485,0.7517019955606549,-0.5993376245690152,-14.639420560425803,2813,4.67891035010653,2308.1343811759966,2496.837861431327,3269.3948286131863,7.744628006524583,7.823180781225598,8.092665999297651,27.092825693084254,160.26502909353533,42.689387798309326,-14.724679749771894,18.97165733519808,0.39786086793761055,-1.0,-1.8369701987210297e-16,-0.9587178169872964,-0.2843591872810036,2015
